year,session,subject,language,variant,material_type,filename,source_url,listing_url,local_path,status,size_bytes,sha256,retrieved_date,rights_note
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_HL.pdf,already-present,695762,17630d45b4d5ffac9ee60edec5e45d1367d3fbcc13810cd368ff31d567993625,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,markscheme,Mathematics_analysis_and_approaches_paper_1__TZ2_SL_markscheme.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_SL_markscheme.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_SL_markscheme.pdf,already-present,1295642,bc29c40bf3c7bf3d5e4b9bf4220ac7bc4abb2f8b66cab8d32368e2f4ebf518d5,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__TZ2_SL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_SL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_SL.pdf,already-present,695182,52adc5435ea7b90d1fbc352fa00840fdca542eb386f671eb2df433adb81f5a7f,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,German,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__[German]_HL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__%5BGerman%5D_HL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__[German]_HL.pdf,already-present,663555,7fa63639ce40600f7fcef3a737088a9bdb4965aaf63c4031ea29be15d7829144,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,German,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__[German]_SL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__%5BGerman%5D_SL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__[German]_SL.pdf,already-present,634376,1335ccbf5088be76606c4bb592537b70b8875750eb45621083053bdbfe50190d,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,French,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__HL_French.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__HL_French.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__HL_French.pdf,already-present,683444,30716f0f5b250ff203a1324f2a35e6a9fa6e96721936c55b731bbf0b5347f494,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,Spanish,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__HL_Spanish.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__HL_Spanish.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__HL_Spanish.pdf,already-present,683784,fc859978e5b94f122c8a36831359109d07b6b6452789524d4279569a9c3c926c,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,French,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__SL_French.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__SL_French.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__SL_French.pdf,already-present,617472,9ee591021462ee4da69bb0760d0f1847fb995ae1a0739a2578bf9ebf4a66b525,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,Spanish,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__SL_Spanish.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__SL_Spanish.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__SL_Spanish.pdf,already-present,618252,7807f48ba839dcb152a660dc41e913825ccba13ea9dd23b3a07060db152e12de,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,markscheme,Mathematics_analysis_and_approaches_paper_2__TZ1_HL_markscheme.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__TZ1_HL_markscheme.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__TZ1_HL_markscheme.pdf,already-present,1685600,aa35a68e03fef4715d32a1c8a12bdb114ad63caa7c75a9c8c35df0a66d4c38da,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_2__TZ1_HL.pdf,already-present,683271,2b42eb961a8199255bf60938e50dc1ee4b65a3849c2c8ab0aafbe3716013c7be,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
